                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.53103,                0.34658,                 1.0307,                0.98417,                0.96689,                0.98349,                0.91052,                0.50076,                 0.2391,                0.97948,             8.9293e-05,             8.9293e-05,             8.9293e-05
                     35,                0.53305,                0.35104,                 1.0317,                0.98402,                0.96651,                 0.9835,                0.91096,                0.50023,                0.23875,                0.97914,              8.864e-05,              8.864e-05,              8.864e-05
                     36,                0.53286,                0.34911,                 1.0304,                0.98397,                0.96614,                0.98338,                0.91099,                0.49972,                 0.2386,                0.97869,             8.7971e-05,             8.7971e-05,             8.7971e-05
                     37,                0.53572,                0.35108,                 1.0308,                0.98233,                0.96817,                0.98347,                0.91115,                0.49915,                0.23835,                0.97817,             8.7286e-05,             8.7286e-05,             8.7286e-05
                     38,                0.53638,                0.35253,                 1.0315,                0.98233,                0.96783,                0.98335,                0.91137,                0.49837,                0.23777,                0.97728,             8.6584e-05,             8.6584e-05,             8.6584e-05
                     39,                0.53808,                0.35131,                 1.0316,                0.98223,                0.96766,                0.98321,                0.91162,                0.49742,                 0.2372,                0.97623,             8.5866e-05,             8.5866e-05,             8.5866e-05
                     40,                 0.5402,                 0.3514,                 1.0317,                0.98157,                0.96893,                0.98326,                0.91174,                0.49675,                0.23693,                0.97537,             8.5133e-05,             8.5133e-05,             8.5133e-05
                     41,                0.53998,                0.34967,                 1.0307,                0.98121,                0.96907,                0.98343,                0.91201,                0.49598,                0.23683,                0.97439,             8.4385e-05,             8.4385e-05,             8.4385e-05
                     42,                0.53847,                0.35163,                 1.0313,                0.98248,                0.96761,                0.98332,                0.91194,                0.49536,                0.23677,                0.97368,             8.3622e-05,             8.3622e-05,             8.3622e-05
                     43,                0.53562,                0.34953,                 1.0297,                0.98259,                0.96727,                0.98341,                0.91224,                0.49462,                0.23622,                0.97305,             8.2844e-05,             8.2844e-05,             8.2844e-05
                     44,                0.53211,                0.34664,                 1.0288,                0.98185,                0.96888,                0.98345,                0.91237,                0.49378,                0.23597,                0.97248,             8.2052e-05,             8.2052e-05,             8.2052e-05
                     45,                0.53222,                0.34743,                 1.0297,                0.98249,                0.96751,                0.98344,                0.91265,                0.49294,                 0.2357,                0.97186,             8.1247e-05,             8.1247e-05,             8.1247e-05
                     46,                0.52983,                0.34649,                 1.0277,                0.98241,                0.96769,                0.98356,                0.91297,                0.49214,                0.23521,                0.97114,             8.0428e-05,             8.0428e-05,             8.0428e-05
                     47,                0.53151,                0.34821,                 1.0272,                0.98324,                 0.9675,                0.98376,                0.91342,                0.49136,                0.23462,                 0.9704,             7.9595e-05,             7.9595e-05,             7.9595e-05
                     48,                0.52831,                0.34412,                 1.0255,                 0.9847,                0.96637,                0.98365,                0.91354,                0.49066,                0.23438,                0.96974,              7.875e-05,              7.875e-05,              7.875e-05
                     49,                 0.5272,                0.34503,                  1.025,                0.98501,                0.96601,                0.98359,                0.91353,                0.49046,                0.23425,                0.96958,             7.7893e-05,             7.7893e-05,             7.7893e-05
                     50,                0.52759,                 0.3437,                 1.0232,                0.98474,                0.96655,                0.98369,                0.91394,                0.48962,                0.23378,                0.96897,             7.7023e-05,             7.7023e-05,             7.7023e-05
